country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,inflation_log,development_index,trade_balance,health_impact_ratio,segment
Afghanistan,4.513054897080286,10.0,7.58,44.9,7.384610383176974,9.44,56.2,5.82,6.317164686747284,2.750470916986162,1.0054415513512376,-34.9,1.6795718582780523,low gdp trap
Albania,2.8678989020441064,28.0,6.55,48.6,9.203416456903359,4.49,76.3,1.65,8.316544717929398,2.3702437414678603,4.773638611962911,-20.6,2.2839019866883947,low gdp trap
Algeria,3.342861804649192,38.4,4.17,31.4,9.465060106725137,16.1,76.5,2.89,8.403128235128264,3.105035008444441,3.8065225360129804,7.0,1.2474341578226296,high inflation risk
Angola,4.787491742782046,62.3,2.85,42.9,8.682877107057168,22.4,60.1,6.16,8.169336395928386,3.3537563070620187,1.649172241333418,19.4,0.595301287839683,high inflation risk
Antigua and Barbuda,2.424802725718295,45.5,6.03,58.9,9.857495968685136,1.44,76.8,2.13,9.409273194575334,2.0347056478384444,7.728587308468063,-13.399999999999999,2.4868002398891003,low gdp trap
Argentina,2.740840023925201,18.9,8.1,16.0,9.83633227734872,20.9,75.8,2.37,9.239996256883693,3.299902663510574,5.9125810428027386,2.8999999999999986,2.9552983498832086,high inflation risk
Armenia,2.9496883350525844,20.8,4.4,45.3,8.81001204797317,7.77,73.3,1.69,8.0774471493312,2.637627736805664,4.120614218313104,-24.499999999999996,1.4916830187490169,low gdp trap
Australia,1.7578579175523736,19.8,8.73,20.9,10.63106031411106,1.16,82.0,1.93,10.857093336791094,1.9974177062012453,22.66366931042653,-1.0999999999999979,4.966271683752222,low gdp trap
Austria,1.667706820558076,51.3,11.0,47.8,10.673618922112436,0.873,80.5,1.44,10.75579427616868,1.9576975467714857,27.545523480988493,3.5,6.595883559628901,low gdp trap
Azerbaijan,3.6938669956249757,54.3,5.88,20.7,9.680406499268875,13.8,69.1,1.92,8.67265729404031,2.996232148595642,3.149412705466147,33.599999999999994,1.5918277531281675,low gdp trap
Bahamas,2.6946271807700692,35.0,7.89,43.7,10.038935856711177,-0.393,73.8,1.86,10.239995502805316,1.7607846649286245,6.571697264775063,-8.700000000000003,2.9280488433821854,low gdp trap
Bahrain,2.2617630984737906,69.5,4.97,50.9,10.623787731088578,7.44,76.0,2.16,9.937937287265354,2.613739521630969,9.902065645179905,18.6,2.1974007814318366,low gdp trap
Bangladesh,3.919991175077323,16.0,3.52,21.8,7.80016307039296,7.14,70.4,2.33,6.63200177739563,2.5915163848462583,1.8618046989884631,-5.800000000000001,0.8979612052138273,low gdp trap
Barbados,2.7212954278522306,39.5,7.97,48.7,9.635673464721814,0.321,76.7,1.78,9.680406499268875,1.8765600709205201,6.139642111110903,-9.200000000000003,2.9287522105934247,low gdp trap
Belarus,1.8718021769015913,51.4,5.61,64.5,9.692828247710418,15.1,70.4,1.49,8.704668113450987,3.0591764461105257,13.089480420696665,-13.100000000000001,2.997111590759167,high inflation risk
Belgium,1.7047480922384253,76.4,10.7,74.7,10.623787731088578,1.88,80.0,1.86,10.70101727068921,2.0906287310704004,24.868009905884602,1.7000000000000028,6.27658716775587,low gdp trap
Belize,2.9856819377004897,58.2,5.2,57.5,8.97221007835365,1.14,71.4,2.71,8.375860015299594,1.9947003132247452,4.1331929823180875,0.7000000000000028,1.741645663705536,low gdp trap
